objectid,forest_cod,compartmen,subid,gis_area,lut,survey_yea,productive,const,mix_type,avg_spacin,estb_stems,ba_method,ba_date,dead_fall,dead_stand,dead_surve,comments,spp1,plantdate1,pyr1,pyrtype1,canopy1,yc1,yctype1,age1,mean_dbh1,stems1,height1,ba1,spp2,plantdate2,pyr2,pyrtype2,canopy2,yc2,yctype2,age2,mean_dbh2,stems2,height2,ba2,spp3,plantdate3,pyr3,pyrtype3,canopy3,yc3,yctype3,age3,mean_dbh3,stems3,height3,ba3,spp4,plantdate4,pyr4,pyrtype4,canopy4,yc4,yctype4,age4,mean_dbh4,stems4,height4,ba4,modifiedon,shape_star,shape_stle,com_sub
"17192",KK06,21920N,"2",1.460000000000000,CHF,"2001",100.000000000000000,NONE,INT,0.000000000000000,"0",NONE,,"0","0",N,,SS,1997-09-30,"1997",R,50.000000000000000,"18",N,"22",0.000000000000000,"0",0.000000000000000,"0",DF,1997-09-30,"1997",R,50.000000000000000,"18",N,"22",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,14588.730041500000880,556.584417013999996,
"17193",KK06,21920N,"11",1.040000000000000,CHF,"2011",100.000000000000000,NONE,INT,2.000000000000000,"0",PLOT,2011-06-20,"0","0",Y,,SS,1990-09-30,"1990",M,95.000000000000000,"16",,"29",15.300000000000001,"1660",10.000000000000000,"31",JL,1989-09-30,"1989",M,5.000000000000000,"0",,"30",18.000000000000000,"48",13.000000000000000,"1",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,10357.567169199999626,641.697132832999955,
"17194",KK06,21920N,"9",3.640000000000000,CHF,"2011",90.000000000000000,NONE,INT,2.000000000000000,"0",PLOT,2011-06-16,"0","0",Y,,SS,1989-09-30,"1989",R,93.000000000000000,"24",,"30",18.500000000000000,"1592",15.500000000000000,"43",JL,1973-09-30,"1973",E,6.000000000000000,"0",,"46",34.500000000000000,"18",17.000000000000000,"2",SP,1946-09-30,"1946",E,1.000000000000000,"12",,"73",33.000000000000000,"4",20.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,36416.612487799997325,1488.173681409999972,
"17195",KK06,21920N,"7",1.600000000000000,CHF,"2003",100.000000000000000,NONE,,0.000000000000000,"2400",NONE,,"0","0",N,,SS,1999-09-30,"1999",R,100.000000000000000,"18",N,"20",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,16003.767120399999840,690.552258918000007,
"17196",KK06,21920N,"12",1.530000000000000,CHF,"2001",100.000000000000000,NONE,,0.000000000000000,"0",NONE,,"0","0",N,,SS,1997-09-30,"1997",R,100.000000000000000,"18",N,"22",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,15306.082153299999845,506.484724958000015,
"17197",KK06,21920N,"5",2.170000000000000,CHF,"2011",100.000000000000000,NONE,INT,2.000000000000000,"0",PLOT,2011-06-20,"0","0",Y,,SS,1989-09-30,"1989",R,96.000000000000000,"22",,"30",17.300000000000001,"1866",15.000000000000000,"44",JL,1973-09-30,"1973",E,4.000000000000000,"0",,"46",33.000000000000000,"16",18.000000000000000,"1",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,21742.180511499998829,618.065561797999976,
"17198",KK06,21920N,"3",0.780000000000000,CHF,"2001",100.000000000000000,NONE,INT,0.000000000000000,"0",NONE,,"0","0",N,,SS,1997-09-30,"1997",R,95.000000000000000,"16",N,"22",0.000000000000000,"0",0.000000000000000,"0",BE,1946-09-30,"1946",E,5.000000000000000,"0",,"73",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,7834.237304690000201,503.198047470999995,
"17199",KK06,21920N,"10",0.980000000000000,CHF,"2001",100.000000000000000,NONE,,0.000000000000000,"0",NONE,,"0","0",N,,SS,1997-09-30,"1997",R,100.000000000000000,"16",N,"22",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,9819.722991939999702,393.314818860999992,
"17200",KK06,21920N,"8",1.060000000000000,CHF,"2011",100.000000000000000,NONE,INT,1.700000000000000,"0",PLOT,2011-06-16,"0","0",Y,,WRC,1973-09-30,"1973",E,55.000000000000000,"18",,"46",28.000000000000000,"330",18.500000000000000,"20",SP,1946-09-30,"1946",E,35.000000000000000,"8",,"73",34.000000000000000,"166",19.000000000000000,"15",SS,1973-09-30,"1973",E,9.000000000000000,"14",,"46",27.000000000000000,"53",16.000000000000000,"3",BE,1940-09-30,"1940",E,1.000000000000000,"4",,"79",28.000000000000000,"18",17.000000000000000,"1",2018-07-03,10623.143585199999507,463.113239722999992,
"17201",KK06,21920N,"1",6.120000000000000,CHF,"2011",100.000000000000000,NONE,INT,2.000000000000000,"0",PLOT,2015-12-01,"0","0",Y,,SS,1990-09-30,"1990",M,92.000000000000000,"26",,"29",23.000000000000000,"818",18.000000000000000,"34",JL,1989-09-30,"1989",M,5.000000000000000,"0",,"30",24.000000000000000,"44",18.000000000000000,"2",OC,1973-09-30,"1973",E,3.000000000000000,"8",,"46",35.000000000000000,"12",17.500000000000000,"1",,,"0",,0.000000000000000,"0",,"0",0.000000000000000,"0",0.000000000000000,"0",2018-07-03,61187.843597400002182,2909.702779100000043,
